"","P1","P2","P3","P4","P5","Team","Mins","oMins","dMins","oPOSS","dPOSS","ORTG","DRTG","NETRTG","PTS","dPTS","FGA","dFGA","FGM","dFGM","TPA","dTPA","TPM","dTPM","FTA","dFTA","FTM","dFTM","RIMA","dRIMA","RIMM","dRIMM","ORB","dORB","DRB","dDRB","BLK","dBLK","TO","dTO","AST","dAST","ePOSS","FG.","dFG.","TPP","dTPP","FTP","dFTP","eFG.","deFG.","TS.","dTS.","RIM.","dRIM.","MID.","dMID.","TPrate","dTPrate","RIMrate","dRIMrate","MIDrate","dMIDrate","FTrate","dFTrate","ASTrate","dASTrate","TOrate","dTOrate","BLKrate","oBLKrate","ORB.","DRB.","TimePerPoss","dTimePerPoss"
"491","JUSTIN.PIERCE","LJ.OWENS","LUKE.LOEWE","NATHAN.KNIGHT","PAUL.ROWLEY","William & Mary",2.7,1.75,0.95,4,3,50,133.333,-83.333,2,4,6,3,1,2,1,0,0,0,0,0,0,0,3,2,1,2,2,0,1,3,0,0,0,0,0,0,3.5,0.167,0.667,0,0,0,0,0.167,0.667,0.167,0.667,0.333,1,0,0,0.167,0,0.5,0.667,0.333,0.333,0,0,0,0,0,0,0,0,0.4,1,26.25,19
"492","JUSTIN.PIERCE","LUKE.LOEWE","MATT.MILON","NATHAN.KNIGHT","PAUL.ROWLEY","William & Mary",4.333,2.383,1.95,6,6,100,166.667,-66.667,6,10,5,6,2,4,2,2,0,1,2,2,2,1,3,2,2,1,1,1,1,3,2,1,0,0,0,3,5.5,0.4,0.667,0,0.5,1,0.5,0.4,0.75,0.504,0.719,0.667,0.5,0,1,0.4,0.333,0.6,0.333,0,0.333,0.4,0.333,0,0.75,0,0,0.333,0.2,0.25,0.5,23.833,19.5
"493","JUSTIN.PIERCE","MATT.MILON","NATHAN.KNIGHT","PAUL.ROWLEY","THORNTON.SCOTT","William & Mary",0.817,0.483,0.333,2,2,0,100,-100,0,2,1,2,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,2,0,0.5,0,0,0,0,0,0.5,0,0.5,0,1,0,0,0,0,1,0.5,0,0.5,0,0,0,1,0.5,0,0,0,0,1,14.5,10
"494","JUSTIN.ROBINSON","KERRY.BLACKSHEAR","NICKEIL.ALEXANDERWALKER","TY.OUTLAW","WABISSA.BEDE","Virginia Tech",1.017,0.567,0.45,1,1,200,0,200,2,0,2,1,1,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,34,27
"495","KENNY.WOOTEN","LOUIS.KING","PAUL.WHITE","PAYTON.PRITCHARD","WILL.RICHARDSON","Oregon",11.65,5.867,5.783,18,19,83.333,94.737,-11.404,15,18,13,15,4,6,9,9,3,2,6,5,4,4,3,2,1,2,3,2,8,7,1,1,5,4,2,4,18.5,0.308,0.4,0.333,0.222,0.667,0.8,0.423,0.467,0.473,0.518,0.333,1,0,0.5,0.692,0.6,0.231,0.133,0.077,0.267,0.462,0.333,0.5,0.667,0.278,0.211,0.067,0.077,0.3,0.8,19.556,18.263
"496","KIHEI.CLARK","KYLE.GUY","MAMADI.DIAKITE","TEAM","TY.JEROME","Virginia",4.65,2.467,2.183,8,8,100,125,-25,8,10,4,7,3,4,2,1,1,0,2,2,1,2,0,2,0,1,0,1,2,1,0,0,3,1,1,2,8,0.75,0.571,0.5,0,0.5,1,0.875,0.571,0.808,0.629,0,0.5,1,0.75,0.5,0.143,0,0.286,0.5,0.571,0.5,0.286,0.333,0.5,0.375,0.125,0,0,0,0.667,18.5,16.375
"497","KODY.STATTMANN","KYLE.GUY","MAMADI.DIAKITE","MARCO.ANTHONY","TY.JEROME","Virginia",1.783,1.467,0.317,4,3,50,100,-50,2,3,3,2,0,1,1,2,0,1,2,0,2,0,2,0,0,0,0,0,1,3,0,0,0,1,0,1,3.5,0,0.5,0,0.5,1,0,0,0.75,0.253,0.75,0,0,0,0,0.333,1,0.667,0,0,0,0.667,0,0,1,0,0.333,0,0,0,1,22,6.333
"498","KYSON.RAWLS","LAPRI.MCCRAYPACE","MARTEZ.CAMERON","TYLER.STREETER","VICTOR.CURRY","Morgan St.",1.783,0.85,0.933,4,4,100,200,-100,4,8,3,4,2,3,0,3,0,2,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,2,4,0.667,0.75,0,0.667,0,0,0.667,1,0.667,1,1,0,0.5,1,0,0.75,0.333,0,0.667,0.25,0,0,0,0.667,0.25,0,0,0,0,1,12.75,14
"499","KYSON.RAWLS","MALIK.MILLER","MARTEZ.CAMERON","SHERWYN.DEVONISHPRINCE","TEAM","Morgan St.",0.517,0.083,0.433,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,26
"500","LAPRI.MCCRAYPACE","MALIK.MILLER","MARTEZ.CAMERON","TYLER.STREETER","VICTOR.CURRY","Morgan St.",1.75,1.067,0.683,4,3,50,66.667,-16.667,2,2,3,4,1,1,0,2,0,0,0,0,0,0,0,2,0,1,0,1,2,2,0,0,1,0,0,1,3.5,0.333,0.25,0,0,0,0,0.333,0.25,0.333,0.25,0,0.5,0.333,0,0,0.5,0,0.5,1,0,0,0,0,1,0.25,0,0,0,0,0.667,16,13.667
"501","LJ.OWENS","LUKE.LOEWE","MATT.MILON","NATHAN.KNIGHT","PAUL.ROWLEY","William & Mary",0.75,0.75,0,2,1,0,100,-100,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0,0,1.053,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22.5,0
"502","LJ.OWENS","LUKE.LOEWE","MATT.MILON","PAUL.ROWLEY","QUINN.BLAIR","William & Mary",2.367,1.7,0.667,4,5,50,180,-130,2,9,2,1,1,1,0,0,0,0,2,8,0,7,1,1,1,1,0,0,0,2,0,0,0,0,0,0,4,0.5,1,0,0,0,0.875,0.5,1,0.339,0.938,1,1,0,0,0,0,0.5,1,0.5,0,1,8,0,0,0,0,0,0,0,0,25.5,8
"503","MALIK.CROWFIELD","MARCUS.EVANS","MARCUS.SANTOSSILVA","MIKEL.SIMMS","SEAN.MOBLEY","VCU",1.1,0.833,0.267,2,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.5,0,0,1,0,1,25,16
"504","MALIK.CROWFIELD","MARCUS.EVANS","MARCUS.SANTOSSILVA","MIKEL.SIMMS","VINCE.WILLIAMS","VCU",1.05,0.417,0.633,1,2,0,100,-100,0,2,1,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1.5,0,0,0,0,0,1,0,0,0,1.053,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,25,19
"505","MFIONDU.KABENGELE","MJ.WALKER","PHIL.COFER","TERANCE.MANN","TRENT.FORREST","Florida St.",7.117,4.55,2.567,10,10,70,150,-80,7,15,8,9,3,6,2,4,0,2,3,2,1,1,4,1,3,1,3,0,3,3,1,1,3,1,1,1,10,0.375,0.667,0,0.5,0.333,0.5,0.375,0.778,0.371,0.754,0.75,1,0,0.75,0.25,0.444,0.5,0.111,0.25,0.444,0.375,0.222,0.333,0.167,0.3,0.1,0.111,0.125,0.5,1,27.3,15.4
"506","MFIONDU.KABENGELE","MJ.WALKER","RAIQUAN.GRAY","TERANCE.MANN","TRENT.FORREST","Florida St.",0.35,0.267,0.083,1,1,0,200,-200,0,2,1,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.053,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5
"507","MJ.WALKER","PHIL.COFER","RAIQUAN.GRAY","TERANCE.MANN","TRENT.FORREST","Florida St.",2.383,0.867,1.517,2,4,0,50,-50,0,2,3,4,0,1,2,1,0,0,0,0,0,0,1,2,0,1,3,0,3,0,1,0,2,0,0,1,3,0,0.25,0,0,0,0,0,0.25,0,0.25,0,0.5,0,0,0.667,0.25,0.333,0.5,0,0.25,0,0,0,1,1,0,0.25,0,1,1,26,22.75
